RANK,SONG,ARTIST,YEAR,WEIGHT,SENT,DECADE,LYRICS
1,bridge over troubled water,simon  garfunkel,1970,100,1,70,when youre weary feeling small when tears are in your eyes i will dry them all im on your side oh when times get rough and friends just cant be found like a bridge over troubled water i will lay me down like a bridge over troubled water i will lay me down when youre down and out when youre on the street when evening falls so hard i will comfort you ill take your part oh when darkness comes and pain is all around like a bridge over troubled water i will lay me down like a bridge over troubled water i will lay me down sail on silver girl sail on by your time has come to shine all your dreams are on their way see how they shine oh if you need a friend im sailing right behind like a bridge over troubled water i will ease your mind like a bridge over troubled water i will ease your mind
2,they long to be close to you,the carpenters,1970,99,1,70, close to youwhy do birds suddenly appear every time you are near just like me they long to be close to youwhy do stars fall down from the sky every time you walk by just like me they long to be close to youon the day that you were born the angels got together and decided to create a dream come true so they sprinkled moon dust in your hair of gold and starlight in your eyes of blueand that is why all the girls in town follow you all around just like me they long to be close to youon the day that you were born the angels got together and decided to create a dream come true so they sprinkled moon dust in your hair of gold and starlight in your eyes of blueand that is why all the kids in town follow you all around and just like me they long to be close to youand just like me they long to be close to youclose to you close to you 
3,american woman,the guess who,1970,98,2,70,umm taa taana umm taa taana umm umm taa taana american woman gonna mess your mind american woman she gonna mess your mind umm american woman gonna mess your mind umh american woman gonna mess your mind say a say m umm say e say r say i say c say a n umm american woman gonna mess your mind umm american woman gonna mess your mind umh american woman gonna mess your mind uuh american woman stay away from me american woman mama let me be dont come hangin around my door i dont wanna see your face no more i got more important things to do than spend my time growin old with you now woman i said stay away american woman listen what i say american woman get away from me american woman mama let me be dont come knockin around my door dont wanna see your shadow no more colored lights can hypnotize sparkle someone elses eyes now woman i said get away american woman listen what i say hey hey american woman said get away american woman listen what i say dont come hangin around my door dont wanna see your face no more i dont need your war machines i dont need your ghetto scenes colored lights can hypnotize sparkle someone elses eyes now woman get away from me american woman mama let me be go gotta get away gotta get away now go go go im gonna leave you woman gonna leave you woman bye bye bye bye bye bye bye bye youre no good for me im no good for you gonna look you right in the eye tell you what im gonna do you know im gonna leave you know im gonna go you know im gonna leave you know im gonna go woman im gonna leave woman goodbye american woman
4,raindrops keep fallin on my head,bj thomas,1970,97,2,70, raindrops are falling on my head and just like the guy whose feet are too big for his bed nothing seems to fit those raindrops are falling on my head they keep fallingso i just did me some talking to the sun and i said i didnt like the way he got things done sleeping on the job those raindrops are falling on my head they keep fallinbut theres one thing i know the blues they send to meet me wont defeat me it wont be long till happiness steps up to greet meraindrops keep falling on my head but that doesnt mean my eyes will soon be turning red cryings not for me cause im never gonna stop the rain by complaining because im free nothings worrying meit wont be long till happiness steps up to greet meraindrops keep falling on my head but that doesnt mean my eyes will soon be turning red cryings not for me cause im never gonna stop the rain by complaining because im free cause nothings worrying me 
5,war,edwin starr,1970,96,2,70, war huh yeah what is it good for absolutely nothing oh hoh oh war huh yeah what is it good for absolutely nothing say it again yall war huh good god what is it good for absolutely nothing listen to meoh war i despise cause it means destruction of innocent lives war means tears to thousands of mothers eyes when their sons go off to fight and lose their livesi said war huh good god yall what is it good for absolutely nothing just say it again war whoa lord what is it good for absolutely nothing listen to me war it aint nothin but a heartbreak war friend only to the undertakeroh war is an enemy to all mankind the thought of war blows my mind war has caused unrest within the younger generation induction then destruction who wants to diewar good god yall what is it good for absolutely nothing say it say it say it war uh huh yeah huh what is it good for absolutely nothing listen to me war it aint nothin but a heartbreaker war its got one friend thats the undertakeroh war has shattered many young mans dreams made him disabled bitter and mean life is much too short and precious to spend fighting wars these days war cant give life it can only take it away oohwar huh good god yall what is it good for absolutely nothing say it again war whoa lord what is it good for absolutely nothing listen to me war it aint nothin but a heartbreaker war friend only to the undertakerpeace love and understanding tell me is there no place for them today they say we must fight to keep our freedom but lord knows theres got to be a better waywar huh good god yall what is it good for you tell em say it say it say it say it war good lord huh what is it good for stand up and shout it nothing war it aint nothin but a heartbreaker 
6,aint no mountain high enough,diana ross,1970,95,1,70, if you need me call me no matter where you are no matter how far just call my name ill be there in a hurry on that you can depend and never worryno wind no rain no wind no rain nor winters cold can stop me babe baby oh babe baby if youre my goaloh no wind no rain no wind no rain can stop me babe if you wanna goi know i know you must follow the sun wherever it leads but remember if you should fall short of your desires remember life holds for you one guarantee youll always have meand if you should miss my love one of these old days if you should ever miss the arms that used to hold you so close or the lips that used to touch you so tenderly just remember what i told you the day i set you freeaint no mountain high enough aint no valley low enough aint no river wild enough to keep me from youaint no mountain high enough aint no valley low enough say it again aint no river wild enough to keep me from youaint no mountain high enough nothing can keep me to keep me from youaint no mountain high enough aint no valley low enough one more time aint no river wild enough say it again to keep me from youaint no mountain high enough nothing can keep me to keep me from getting to you babe 
8,get ready,rare earth,1970,93,1,70, never met a girl could make me feel the way that you do youre all right whenever im asked what makes a my dreams real i tell em you do youre outta sight well tweedle dee tweedle dum look out baby cause here i comeim bringin you a love thats true get ready get ready get ready ill stop makin love to you get ready get ready get readyohh dont you know im comin get ready cause here i come on my way get ready cause here i comeyou wanna play hide and seek with love let me remind ya youre all right lovin youre gonna miss and the time it takes to find ya youre outta sight well fe fi fo fo fum look out baby now here i comeim bringin you a love thats true aw get ready oh get ready get ready ill stop makin love to you get ready get ready get readydont you know im comin get ready cause here i come on my way get ready cause here i comeif all of my friends shouldnt want me to i think ill understand youre alright hope i get to you before they do cause thats how i planned it youre outta sight well tweedley dee now tweedley dum look out baby now here i comeim bringin you a love thats true get ready get ready get ready ill stop makin love to you get ready get ready get readyaw dont you know im comin get ready cause here i come on my way get ready cause here i comeget ready cause here i come get ready cause here i come get ready get ready cause here i come get ready get ready cause here i come 
9,let it be,the beatles,1970,92,1,70, when i find myself in times of trouble mother mary comes to me speaking words of wisdom let it be and in my hour of darkness she is standing right in front of me speaking words of wisdom let it be let it be let it be let it be let it be whisper words of wisdom let it beand when the broken hearted people living in the world agree there will be an answer let it be for though they may be parted there is still a chance that they will see there will be an answer let it be let it be let it be let it be let it be there will be an answer let it be let it be let it be let it be let it be whisper words of wisdom let it be let it be let it be let it be let it be whisper words of wisdom let it beand when the night is cloudy there is still a light that shines on me shine until tomorrow let it be i wake up to the sound of music mother mary comes to me speaking words of wisdom let it be let it be let it be let it be yeah let it be there will be an answer let it be let it be let it be let it be yeah let it be whisper words of wisdom let it be 
10,band of gold,freda payne,1970,91,1,70, now that youre gone all thats left is a band of gold all thats left of the dreams i hold is a band of gold and the memories of what love could be if you were still here with meyou took me from the shelter of my mother i had never known or loved any other we kissed after taking vows but that night on our honeymoon we stayed in separate roomsi wait in the darkness of my lonely room filled with sadness filled with gloom hoping soon that youll walk back through that door and love me like you tried beforesince youve been gone all thats left is a band of gold all thats left of the dreams i hold is a band of gold and the dream of what love could be if you were still here with meohhhdont you know that i wait in the darkness of my lonely room filled with sadness filled with gloom hoping soon that youll walk back through that door and love me like you tried beforesince youve been gone all thats left is a band of gold all thats left of the dreams i hold is a band of gold and the dream of what love could be if you were still here with mesince youve been gone all thats left is a band of gold all thats left of the dreams i hold is a band of gold and the dream of what love could be if you were still here with me 
11,mama told me not to come,three dog night,1970,90,1,70, want some whiskey in your water sugar in your tea whats all these crazy questions youre askin me this is the craziest party that could ever be dont turn on the lights cause i dont wanna seemama told me not to come oh lord mama told me not to come that aint the way to have fun noopen up your window let some air into this room i think im almost chokin from the smell of stale perfume and that cigarette youre smokin bout scare me half to death open up the window sucker let me catch my breathmama told me not to come mama told me not to come she say uh that aint the way to have fun son that aint the way to have fun sonthe radio is blastin someones knockin on the door im lookin at my girlfriend shes passed out on the floor i seen so many things i aint never seen before i dont know what it is i dont wanna see no moremama told me not to come oh lord mama told me not to come she said that aint the way to have fun son that aint the way to have fun nomama told me mama told me mama told me told me told me mama told me told me ooh yeah yeah mama told me not to go mama told me mama told me aint that the truththat aint the way to have fun no that aint the way to have fun son that aint the way to have fun no that aint the way to have fun sonthat aint the way to have fun no that aint the way to have fun son that aint the way to have fun no that aint the way to have fun son 
